Date,Open,High,Low,Close,Volume,MarketCap
1980-11-19,2.3108273381369084,2.3163558753537865,2.233431099863365,2.261072874069214,1234070,503209998.4293652
1980-11-20,2.255544561066376,2.255544561066376,2.1947333812713623,2.1947333812713623,304410,488445902.8314495
1980-11-21,2.194732386512778,2.2113174451677886,2.1781475102334107,2.189204216003418,241279,487215366.9749069
1980-11-24,2.189205973768873,2.189205973768873,2.144979479929629,2.156036376953125,163447,479833743.6633301
1980-11-25,2.156035850721896,2.156035850721896,2.1228657148747283,2.1283938884735107,253386,473681807.23353386
1980-11-26,2.1283929050584827,2.1505061363635223,2.1228647340139686,2.1339216232299805,648600,474912024.7245407
1980-11-28,2.1339216636743186,2.1449780059728982,2.1118084319501658,2.1394498348236084,255981,476142348.3373928
1980-12-01,2.139450087153753,2.139450087153753,2.095223618489307,2.1062803268432617,370999,468760353.5993576
1980-12-02,2.0952244500742325,2.0952244500742325,2.050998328608016,2.0786397457122803,179014,462608841.6569424
1980-12-03,2.078639261392541,2.078639261392541,2.067582368850708,2.067582368850708,131450,460147982.1875477
1980-12-04,2.062053588650079,2.062053588650079,2.034412186129542,2.039940357208252,344190,453996151.8795967
1980-12-05,2.028883641292212,2.028883641292212,1.995713526676538,2.012298583984375,345055,447844374.6325684
1980-12-08,2.012299256077636,2.012299256077636,1.912789790873324,1.934903025627136,471316,430619711.4003324
1980-12-09,1.9349022448854576,2.00124192237854,1.918317735857324,2.00124192237854,708271,445383674.3459416
1980-12-10,2.00124284559614,2.012299372424466,1.9072617292404173,1.9072617292404173,563850,424468040.2751493
1980-12-11,1.9017339501000567,1.9017339501000567,1.8464509397800992,1.885148882865905,554337,419546745.8237409
1980-12-12,1.8962058228826908,1.9570168256759644,1.8962058228826908,1.9570168256759644,136638,435541218.0954313
1980-12-15,1.957015652462066,1.9846572329117933,1.918317914009094,1.9183179140090945,392619,426928634.439931
1980-12-16,1.9127893634745616,1.9127893634745616,1.8575065625061007,1.890676498413086,290573,420776936.7842865
1980-12-17,1.8906760846150448,1.945959055859786,1.8575061559677128,1.8575061559677124,972035,413394756.3330221
1980-12-18,1.857507855112428,1.868564568900807,1.8132817294620125,1.8243380784988403,1375032,406013079.96052265
1980-12-19,1.824336786013795,1.835393309593201,1.7856390446736985,1.835393309593201,293167,408473461.8816138
1980-12-22,1.8353940522045915,1.8519791178475864,1.8022242856700423,1.8132811784744265,639087,403552326.6129733
1980-12-23,1.813280830427921,1.846450408220084,1.813280830427921,1.840922236442566,967711,409703944.6772337
1980-12-24,1.840921844946373,1.8464500155482528,1.835393309593201,1.835393309593201,119342,408473461.8816138
1980-12-26,1.83539277257986,1.8685626983642576,1.83539277257986,1.8685626983642576,143557,415855430.0891876
1980-12-29,1.8685628596420265,1.8906760846150448,1.846449634669008,1.8575061559677124,137503,413394756.3330221
1980-12-30,1.8575065391276584,1.8575065391276584,1.835393309593201,1.835393309593201,325165,408473461.8816138
1980-12-31,1.8353941688209,1.8409227067622207,1.8132812936857376,1.82986581325531,181608,407243297.4515295
